code,name,outstanding,timeToMarket
300074,华平股份,4.72,20100427
002547,春兴精工,8.0,20110218
603011,合锻智能,4.12,20141107
600555,海航创新,9.74,20010328
002300,太阳电缆,5.42,20091021
002374,丽鹏股份,7.24,20100318
600241,时代万恒,1.93,20001128
002451,摩恩电气,4.13,20100720
300312,邦讯技术,1.84,20120508
603650,彤程新材,0.59,20180627
300746,汉嘉设计,0.53,20180525
300225,金力泰,4.68,20110531
002782,可立克,1.06,20151222
002907,华森制药,0.4,20171020
000590,启迪古汉,2.23,19960119
603901,永创智能,1.84,20150529
002488,金固股份,5.12,20101021
002356,赫美集团,2.75,20100209
300747,锐科激光,0.32,20180625
603486,科沃斯,0.4,20180528
300677,英科医疗,0.49,20170721
300745,欣锐科技,0.29,20180523
300050,世纪鼎利,3.65,20100120
002906,华阳集团,0.73,20171013
002148,北纬科技,4.44,20070810
002125,湘潭电化,2.59,20070403
000678,襄阳轴承,4.29,19970106
603398,邦宝益智,0.53,20151209
300578,会畅通讯,0.53,20170125
603996,中新科技,1.03,20151222
603421,鼎信通讯,0.43,20161011
300647,超频三,0.54,20170503
002870,香山股份,0.4,20170515
300056,三维丝,2.14,20100226
300546,雄帝科技,0.64,20160928
600448,华纺股份,4.22,20010903
300484,蓝海华腾,0.94,20160322
000892,欢瑞世纪,5.17,19990115
601330,绿色动力,1.16,20180611
000595,宝塔实业,7.45,19960419
002211,宏达新材,4.32,20080201
300141,和顺电气,1.63,20101112
300134,大富科技,7.12,20101026
002584,西陇科学,2.92,20110602
600722,金牛化工,6.8,19960626
002388,新亚制程,4.0,20100413
000979,中弘股份,83.89,20000616
300120,经纬辉开,2.13,20100917
300177,中海达,3.17,20110215
600130,波导股份,7.68,20000706
600156,华升股份,4.02,19980527
002592,八菱科技,2.04,20111111
601113,华鼎股份,6.4,20110509
300309,吉艾科技,4.33,20120410
002694,顾地科技,4.97,20120816
300584,海辰药业,0.47,20170112
300582,英飞特,1.19,20161228
002278,神开股份,3.44,20090811
603555,贵人鸟,6.29,20140124
300601,康泰生物,2.4,20170207
002676,顺威股份,7.2,20120525
300685,艾德生物,0.36,20170802
300128,锦富技术,10.66,20101013
600303,曙光股份,6.2,20001226
603045,福达合金,0.25,20180517
300242,佳云科技,5.08,20110712
000868,安凯客车,6.96,19970725
300311,任子行,3.54,20120425
603007,花王股份,1.94,20160826
300529,健帆生物,1.07,20160802
300173,智慧松德,5.09,20110201
600250,南纺股份,2.59,20010306
300743,天地数码,0.17,20180427
002813,路畅科技,0.3,20161012
000802,北京文化,3.85,19980108
002161,远 望 谷,6.98,20070821
300487,蓝晓科技,0.89,20150702
300260,新莱应材,1.37,20110906
002606,大连电瓷,4.02,20110805
002692,睿康股份,5.8,20120808
000150,宜华健康,3.75,20000807
000636,风华高科,8.75,19961129
600763,通策医疗,3.21,19961030
603918,金桥信息,1.77,20150528
002796,世嘉科技,0.3,20160510
000810,创维数字,9.6,19980602
000812,陕西金叶,6.69,19980623
300374,恒通科技,1.61,20150319
603988,中电电机,1.68,20141104
300012,华测检测,14.75,20091030
000735,罗 牛 山,10.6,19970611
002725,跃岭股份,1.1,20140129
002810,山东赫达,0.61,20160826
300261,雅本化学,7.61,20110906
603718,海利生物,6.44,20150515
300554,三超新材,0.56,20170421
000752,西藏发展,2.64,19970625
300547,川环科技,0.63,20160930
603477,振静股份,0.6,20171218
600536,中国软件,4.95,20020517
600567,山鹰纸业,45.7,20011218
000596,古井贡酒,3.84,19960927
000713,丰乐种业,2.99,19970422
600715,文投控股,4.49,19960701
603856,东宏股份,0.64,20171106
300476,胜宏科技,3.36,20150611
300167,迪威迅,3.0,20110125
002259,升达林业,7.24,20080716
002680,长生生物,4.04,20120605
002083,孚日股份,8.66,20061124
002465,海格通信,18.77,20100831
000553,沙隆达Ａ,3.64,19931203
300139,晓程科技,2.12,20101112
300123,亚光科技,2.77,20100928
603606,东方电缆,4.2,20141015
300107,建新股份,3.28,20100820
002486,嘉麟杰,8.19,20101015
300672,国科微,0.28,20170712
002014,永新股份,4.85,20040708
000976,华铁股份,5.87,20000601
002276,万马股份,9.37,20090710
300713,英可瑞,0.19,20171101
300122,智飞生物,8.69,20100928
002693,双成药业,4.03,20120808
600695,绿庭投资,3.66,19931122
002199,东晶电子,2.16,20071221
600645,中源协和,3.84,19930504
002634,棒杰股份,2.7,20111205
603579,荣泰健康,0.51,20170111
600313,农发种业,9.94,20010119
300630,普利制药,0.99,20170328
000790,泰合健康,5.6,19980327
300071,华谊嘉信,4.82,20100421
300499,高澜股份,0.68,20160202
600345,长江通信,1.98,20001222
300323,华灿光电,6.9,20120601
600903,贵州燃气,1.22,20171107
600265,ST景谷,1.3,20000825
600483,福能股份,12.58,20040531
002358,森源电气,9.1,20100210
300522,世名科技,0.51,20160705
002519,银河电子,8.32,20101207
603777,来伊份,1.09,20161012
600268,国电南自,6.35,19991118
600230,沧州大化,4.12,20000406
300062,中能电气,1.89,20100319
600069,银鸽投资,10.73,19970430
000818,航锦科技,6.9,19971017
000301,东方市场,12.18,20000529
600081,东风科技,3.14,19970703
002398,建研集团,5.24,20100506
002399,海普瑞,12.47,20100506
600500,中化国际,20.83,20000301
002099,海翔药业,15.92,20061226
600867,通化东宝,19.73,19940824
600809,山西汾酒,8.66,19940106
300001,特锐德,8.69,20091030
300116,坚瑞沃能,12.94,20100902
002326,永太科技,5.25,20091222
603866,桃李面包,0.59,20151222
000430,张家界,2.58,19960829
002134,天津普林,2.46,20070516
603985,恒润股份,0.67,20170505
600375,华菱星马,5.56,20030401
600666,奥瑞德,7.95,19930712
000971,高升控股,5.91,20000427
603819,神力股份,0.56,20161125
002138,顺络电子,6.42,20070613
300634,彩讯股份,0.4,20180323
002909,集泰股份,0.42,20171026
601996,丰林集团,9.45,20110929
601882,海天精工,1.26,20161107
603688,石英股份,3.36,20141031
600771,广誉远,2.68,19961105
002746,仙坛股份,2.42,20150216
300232,洲明科技,4.52,20110622
002616,长青集团,4.59,20110920
000410,沈阳机床,7.4,19960718
603605,珀莱雅,0.5,20171115
300644,南京聚隆,0.16,20180206
603337,杰克股份,0.81,20170119
600197,伊力特,4.41,19990916
600710,苏美达,6.4,19960701
300512,中亚股份,0.78,20160526
300559,佳发教育,0.76,20161101
600215,长春经开,4.65,19990909
600110,诺德股份,11.5,19971007
002885,京泉华,0.45,20170627
300216,千山药机,2.82,20110511
603127,昭衍新药,0.29,20170825
002184,海得控制,1.36,20071116
002901,大博医疗,0.4,20170922
300732,设研院,0.32,20171212
002851,麦格米特,1.25,20170306
002235,安妮股份,5.0,20080516
600011,华能国际,105.0,20011206
300404,博济医药,0.85,20150424
600405,动力源,5.53,20040401
600794,保税科技,11.92,19970306
002021,中捷资源,6.88,20040715
300356,光一科技,3.69,20121009
300384,三联虹普,0.61,20140801
300004,南风股份,4.02,20091030
300076,GQY视讯,3.68,20100430
002218,拓日新能,12.16,20080228
603387,基蛋生物,0.46,20170717
300083,劲胜智能,11.91,20100520
600389,江山股份,2.97,20010110
002159,三特索道,1.39,20070817
002348,高乐股份,7.38,20100203
002921,联诚精密,0.2,20171227
603787,新日股份,0.71,20170427
002560,通达股份,2.75,20110303
002496,辉丰股份,10.23,20101109
000567,海德股份,1.5,19940525
603897,长城科技,0.45,20180410
600689,上海三毛,1.52,19931108
002458,益生股份,1.76,20100810
603963,大理药业,0.25,20170922
600136,当代明诚,3.44,19980303
002619,艾格拉斯,13.97,20110929
002387,维信诺,3.29,20100413
002773,康弘药业,4.75,20150626
000909,数源科技,3.11,19990507
000613,大东海A,2.66,19970128
002264,新 华 都,6.07,20080731
300144,宋城演艺,11.53,20101209
002299,圣农发展,11.01,20091021
600367,红星发展,2.91,20010320
002915,中欣氟材,0.28,20171205
002549,凯美特气,6.2,20110218
600521,华海药业,12.32,20030304
300333,兆日科技,3.31,20120628
603889,新澳股份,3.23,20141231
002357,富临运业,3.13,20100210
300294,博雅生物,3.41,20120308
002672,东江环保,6.51,20120426
300454,深信服,0.4,20180516
002065,东华软件,27.92,20060823
300104,乐视网,30.65,20100812
300337,银邦股份,7.01,20120718
002809,红墙股份,0.6,20160823
300425,环能科技,5.84,20150216
300132,青松股份,3.11,20101026
300505,川金诺,0.38,20160315
002346,柘中股份,3.91,20100128
000593,大通燃气,2.8,19960312
002858,力盛赛车,0.62,20170324
600240,华业资本,14.24,20000628
300371,汇中股份,0.57,20140123
601858,中国科传,1.31,20170118
603199,九华旅游,1.11,20150326
002922,伊戈尔,0.33,20171229
002114,罗平锌电,3.23,20070215
600329,中新药业,5.66,20010606
002524,光正集团,5.01,20101217
603638,艾迪精密,0.85,20170120
002829,星网宇达,0.62,20161213
603667,五洲新春,1.13,20161025
603039,泛微网络,0.4,20170113
603707,健友股份,0.83,20170719
000973,佛塑科技,9.67,20000525
002565,顺灏股份,6.85,20110318
300121,阳谷华泰,3.72,20100917
603666,亿嘉和,0.18,20180612
300620,光库科技,0.22,20170310
000560,我爱我家,11.3,19940202
603043,广州酒家,1.26,20170627
600436,片仔癀,6.03,20030616
300424,航新科技,1.57,20150422
600084,中葡股份,11.24,19970711
002432,九安医疗,4.33,20100610
002461,珠江啤酒,13.6,20100818
603059,倍加洁,0.2,20180302
603601,再升科技,5.41,20150122
002587,奥拓电子,3.93,20110610
002181,粤 传 媒,11.34,20071116
300253,卫宁健康,12.02,20110818
603711,香飘飘,0.4,20171130
002228,合兴包装,10.39,20080508
002413,雷科防务,10.38,20100528
002462,嘉事堂,2.49,20100818
002198,嘉应制药,4.65,20071218
